Pris,kWh
2.6666,594
1.9104,725
2.0314,896
0.3775,299
0.3168,328
2.1607,705
1.2230,419
1.0259,617
1.3232,655
2.8992,912
2.4018,23
2.6631,665
1.7684,216
2.9590,233
1.9680,441
0.5275,478
0.5527,118
0.0301,526
2.7857,12
1.3518,781
2.4777,473
2.0907,848
0.7617,454
2.1525,51
2.4099,990
2.7470,149
2.3298,966
2.4525,213
2.2669,515
2.4019,531
0.0740,136
1.4184,993
2.5058,691
2.4839,519
1.8031,354
0.5680,644
0.6489,647
1.2754,946
0.0564,954
2.2375,950
2.0986,253
0.3835,70
1.9445,748
2.9074,781
1.7680,462
2.4820,938
1.8279,673
1.0936,121
1.9364,136
2.5409,605
2.5684,924
2.0602,496
1.8114,72
2.5775,183
1.5159,307
1.1940,639
0.5723,300
0.6545,207
0.5287,882
2.4942,756
1.9352,893
0.8183,174
2.8639,681
1.3809,336
1.1834,122
1.7693,863
2.9024,653
1.5984,907
0.3281,644
2.6927,821
2.0630,469
2.8208,603
1.1876,972
1.2422,626
1.7387,653
1.0962,236
2.5662,351
0.7644,812
2.5948,143
0.5083,420
1.3234,15
0.1544,174
1.0235,185
0.1058,853
0.5171,898
0.1141,601
1.1194,666
2.4716,181
2.3078,168
2.7518,870
1.9419,371
1.3914,371
0.6116,888
2.9099,117
1.7724,878
1.8861,424
1.4094,741
2.9718,338
1.5306,509
0.7589,199
1.3936,747
0.0057,873
0.3128,222
1.3815,996
1.3959,229
0.6882,907
0.3389,257
1.6244,600
0.9612,291
0.7521,685
0.4048,733
0.2710,702
0.2001,754
1.0182,17
2.9303,85
1.9112,212
1.9065,786
2.1376,333
1.8183,44
2.6922,319
0.4174,790
1.0178,91
0.1631,634
1.8359,91
0.8863,518
0.5779,570
0.8522,585
2.8326,781
2.4312,26
0.2024,18
2.1655,519
0.4553,495
2.4502,236
2.7858,626
1.1430,840
2.7376,804
2.9384,376
2.6309,213
2.8409,233
0.3363,152
2.6841,68
2.5403,713
1.9532,72
0.2982,533
2.0733,957
1.0942,958
1.3171,982
2.1908,161
1.9901,806
2.5533,917
2.8857,472
2.5799,102
2.7615,645
1.9416,548
2.3367,754
1.0272,481
0.6511,599
1.2261,470
1.2687,198
1.5983,182
0.2283,760
1.8834,999
0.0044,720
1.5305,829
0.2504,650
1.5516,236
1.3358,242
2.6098,358
0.8431,164
2.2416,858
1.5702,152
0.5601,294
1.9512,240
0.2552,685
0.7347,738
0.0891,813
1.0187,538
2.1437,325
0.3272,893
2.2359,413
2.0300,41
0.5124,635
1.5508,958
0.2881,509
0.7065,678
1.4209,519
2.8509,765
1.2357,105
1.0373,221
2.0989,441
2.2056,860
1.8251,295
1.8868,505
2.1940,575
0.0317,789
1.1237,753
0.7804,376
1.2932,922
1.3075,825
2.3688,423
1.5338,514
1.3981,865
0.4295,728
2.9441,148
1.7568,236
1.2893,545
2.0905,792
2.6703,89
1.8514,219
2.9372,627
2.9894,19
2.8736,195
1.1955,776
1.9730,823
2.3269,365
2.7698,567
2.4481,143
1.8872,496
1.7714,723
0.7474,581
2.3212,186
1.0624,727
1.5393,856
0.6301,499
0.1714,912
0.5303,859
1.1178,569
0.8816,360
0.3083,560
1.8264,823
2.8602,13
0.5416,833
1.3607,481
0.3120,697
2.9064,533
2.9984,584
1.9939,337
2.2538,355
1.8718,115
2.1132,816
0.0535,317
2.5204,174
1.9809,873
2.9319,487
1.5787,958
0.1769,336
2.5545,246
2.2023,826
1.1640,664
0.6662,686
2.6728,657
1.4962,35
2.8613,390
2.9734,233
1.8363,789
2.0832,830
1.5063,315
1.4343,190
1.3216,198
0.5308,288
2.7517,355
1.6012,609
0.8642,527
1.4687,368
2.8758,767
0.8635,600
2.9093,751
2.9276,942
0.0372,432
0.5445,517
0.6759,997
2.4895,501
2.5823,954
1.3542,963
1.7013,815
2.9109,670
2.0787,548
2.2786,685
0.6693,937
2.2595,649
1.3183,795
0.1948,300
1.8964,673
2.2274,300
2.7457,556
2.2637,834
2.7815,335
0.2020,878
0.9121,836
1.7774,64
1.0872,475
1.5694,112
2.7255,80
2.0247,791
0.0828,932
0.1096,164
2.7180,112
2.5189,199
1.3690,325
0.5817,292
2.1251,976
1.1648,243
1.4634,149
2.8420,64
2.0354,172
2.8226,291
